P 3 4650397.56551457 -3390535.52275848 -4087729.48877329
P 3 3169722.12564676 -2787480.80604407 -5661647.74541255
P 3 1369743.14695017 -1903662.23809705 -6663952.07552171
P 3 -567881.18174160 -828602.64622901 -6995188.66804375
P 3 -2448582.60230996 329568.15352849 -6623075.06683579
P 3 -4083754.13823344 1454683.10708859 -5585143.37246992
P 3 -5308969.50307564 2433751.75579502 -3985152.13065030
P 3 -6000251.41586053 3168038.65147806 -1983402.41619314
P 3 -6086888.59948749 3583071.08902440 218668.59698567
P 3 -5559191.47781264 3636465.81402216 2398566.73167249
P 3 -4469920.08845903 3322511.24085064 4335511.55404767
P 3 -2928982.78408199 2672830.22757979 5833216.31169719
P 3 -1092083.75801192 1753068.15442214 6739938.26134568
P 3 855172.48215813 656135.12561360 6963670.20631676
P 3 2715900.15544456 -507141.10370753 6481233.35568881
P 3 4301545.02457765 -1619032.41301719 5340730.82941359
P 3 5450887.61456272 -2566695.71952053 3657168.90089312
P 3 6046743.71636896 -3253730.76621873 1601308.71661883
P 3 6028480.33195964 -3610312.82817681 -617627.59379826
P 3 5398572.81294241 -3600605.84777646 -2773801.46073176
P 3 4222131.44045066 -3226403.44705845 -4648544.33370408
P 3 2619506.22498348 -2526553.46407330 -6052998.81756411
P 3 753243.71779541 -1572460.33494755 -6846895.76189552
P 3 -1188681.40488625 -460501.29993145 -6951744.44608042
P 3 -3011438.35434630 697635.55422786 -6357762.60297625
P 3 -4532151.11938648 1785788.30123550 -5124499.63066102
P 3 -5597650.73991331 2694559.67974802 -3375267.63085370
P 3 -6099819.66022190 3332144.87819992 -1285551.25441976
P 3 -5986960.96848025 3633749.04814585 934060.84516973
P 3 -5269630.81665556 3568466.92847822 3059081.28082907
P 3 -4019895.75365332 3142650.51265407 4874208.82997100
P 3 -2363959.24834243 2399275.25845820 6195511.03850927
P 3 -469149.87076022 1413453.85724258 6889101.23661198
P 3 1473060.67181718 284763.40426175 6884461.22018420
P 3 3266189.40343301 -872716.65558328 6181432.05126297
P 3 4728347.28355441 -1941746.59348253 4850477.39746136
P 3 5710710.23095050 -2813734.86048061 3026098.49087128
P 3 6113095.13961986 -3399958.81868676 893596.86158469
P 3 5894739.57129755 -3640946.46595729 -1329913.85220463
